Date,Close,High,Low,Open,Volume
2018-01-02,237.20822143554688,237.24353176099643,235.99910539429536,236.38743817258023,86655700
2018-01-03,238.70860290527344,238.85865158951364,237.3759141786167,237.3759141786167,90070400
2018-01-04,239.7147216796875,240.2001511312624,238.77039265557013,239.3528918371276,80636400
2018-01-05,241.3121795654297,241.43572529750236,240.01480124229727,240.50903803835863,83524000
2018-01-08,241.7534942626953,241.91235033811418,240.9238766236564,241.2151127619243,57319200
2018-01-09,242.3006591796875,242.92727603778826,241.89465778192215,242.17708651065823,57254000
2018-01-10,241.9300079345703,242.1947950115586,240.87094042828855,241.54167510209987,69574300
2018-01-11,243.6951141357422,243.6951141357422,242.3183077116669,242.48599809071717,62361500
2018-01-12,245.28366088867188,245.45132426910973,243.65970974648397,243.95980699706044,90816100
2018-01-16,244.4452667236328,247.19887915543404,243.74802930215662,246.54578636770452,106555100
2018-01-17,246.7752685546875,247.1636013265169,244.44529885759744,245.38082046230835,113258800
2018-01-18,246.36045837402344,247.08414488021808,245.86619468444889,246.6605287661301,100728000
2018-01-19,247.48130798339844,247.48130798339844,246.360454454197,246.94292660180025,140920100
2018-01-22,249.49363708496094,249.49363708496094,247.21659211723204,247.26957107977756,91322400
2018-01-23,250.0231475830078,250.31438369783498,249.21117170640608,249.5377181464472,97084700
2018-01-24,249.92599487304688,251.26751759145822,248.7433551155235,250.6673499329624,134816100
2018-01-25,250.0319366455078,250.8880301654911,249.23762945665055,250.79096044562263,84587300
2018-01-26,252.92681884765625,252.97096349404998,250.61449048756148,250.87044324819584,107743100
2018-01-29,251.2498779296875,252.79437454936289,251.09102188436725,252.3530898008842,90118300
2018-01-30,248.6728057861328,251.3028458154768,248.19621068618974,249.41416097833022,131796400
2018-01-31,248.7963409423828,250.03193287685758,247.71960505650821,249.52888872295708,108364800
2018-02-01,248.51388549804688,249.8200979361876,247.71957840661423,248.06379340876774,90102500
2018-02-02,243.1038818359375,247.32256474361773,243.06857149959305,247.19015771579978,173174800
2018-02-05,232.93653869628906,243.4567779495845,232.38934996967978,241.3386167452759,294681800
2018-02-06,237.5259246826172,238.0289957423449,228.32073161681018,229.4151091357553,355026800
2018-02-07,236.2374267578125,240.37665357916381,236.15797178860365,236.96994770614245,167376100
2018-02-08,227.3763885498047,236.67867878311245,227.341078227703,236.53746442858989,246449500
2018-02-09,230.79196166992188,232.65417068859074,223.21951251611446,230.1741521461986,283565300
2018-02-12,234.18106079101562,235.6549641657035,230.93321048419568,232.84837181234937,143736000
2018-02-13,234.76348876953125,235.3106775542343,232.38937464192566,232.97187374838228,81223600
2018-02-14,237.9319305419922,238.29378730292595,233.26312990853194,233.27196422320154,120735700
2018-02-15,240.96800231933594,240.97683663511486,237.2082468064873,239.67945810841988,111200300
2018-02-16,241.03857421875,242.98907245701633,240.29721897546403,240.34136361647205,160420100
2018-02-20,239.52940368652344,241.53285408042603,238.73509636819446,240.0854268895204,86369700
2018-02-21,238.33790588378906,242.45951770059347,238.24083615761157,239.9706650043789,98883700
2018-02-22,238.64682006835938,240.9856241766119,237.9760854716206,239.26462957645055,110511300
2018-02-23,242.45066833496094,242.45066833496094,239.39698529899417,239.87358038725222,92766400
2018-02-26,245.2660675048828,245.3631641590026,242.93609794650865,243.52740444984997,86491400
2018-02-27,242.20352172851562,246.1662767763648,242.1417354044071,245.45137076031725,99099200
2018-02-28,239.75,243.75687308338314,239.43228790732093,243.30675401820403,121907800
2018-03-01,236.26388549804688,241.0915421403742,234.7635064501868,239.53821107283775,176855100
2018-03-02,237.4817657470703,238.04662309952937,233.72203836355362,234.58693915042016,139083200
2018-03-05,240.22665405273438,240.84446362980503,236.1844696553322,236.2904006461169,97307400
2018-03-06,240.83560180664062,241.28572093092131,239.33522268162986,241.2062659634352,79213200
2018-03-07,240.74729919433594,241.10032159591879,238.47028181032627,238.66444817127925,87063500
2018-03-08,241.9123992919922,242.035945064356,240.4296884202612,241.42696971812828,66901200
2018-03-09,246.12217712402344,246.12217712402344,243.0067075503226,243.32444660817592,113625300
2018-03-12,245.81320190429688,247.0399862102862,245.4248692415289,246.41336952286102,71924800
2018-03-13,244.2246856689453,247.48136997942032,243.61571042819702,246.97829879203877,91968900
2018-03-14,242.97142028808594,245.37201087683877,242.41542401836875,245.18667878693302,105895100
2018-03-15,242.70663452148438,244.12755861714484,242.20356339670718,243.4833000613749,83433000
2018-03-16,242.96981811523438,244.0242844313294,242.91665401877228,243.23563859754483,100343700
2018-03-19,239.6823272705078,243.14699809458727,238.02531666806877,242.21659945910983,109208400
2018-03-20,240.08998107910156,240.72797728381647,239.40766343245355,240.08111138236328,59757300
2018-03-21,239.62913513183594,242.14566763436136,239.41647879244715,240.04560515764047,78709600
2018-03-22,233.6390838623047,238.24680903450204,233.36436670828806,237.39615665593124,148785900
2018-03-23,228.65927124023438,234.4101082318106,228.4643271550663,234.0822538707927,183534800
2018-03-26,234.9150848388672,235.19864468901096,229.86430683674024,232.27451147945092,141956100
2018-03-27,230.91879272460938,236.38604127171342,229.35924045775252,235.85440030961038,129941400
2018-03-28,230.2364959716797,232.72647423159816,229.1288654638955,231.05172392378344,146452300
2018-03-29,233.17832946777344,235.04802350892263,230.24532654488942,231.37953891046007,111601600
2018-04-02,228.14532470703125,233.16067937830428,225.66422942449236,232.64672362939902,186286300
2018-04-03,231.0694122314453,231.5479161327072,227.58702876737635,229.38581944316263,119956900
2018-04-04,233.54161071777344,234.25048323050345,227.37433332341269,227.50724353933046,123715300
2018-04-05,235.38478088378906,236.27088526529693,234.21511661017638,235.30500769270483,82652600
2018-04-06,230.13897705078125,234.9150644848092,228.61487679050774,233.41757330982708,179521200
2018-04-09,231.273193359375,234.67583020057145,230.33392508225194,231.60104758266746,105442900
2018-04-10,234.95053100585938,235.7391767500302,233.02769997153587,234.17075495734375,103529000
2018-04-11,233.71890258789062,235.3847831679727,233.39104829023276,233.46192474306693,91140200
2018-04-12,235.64170837402344,236.58984645846667,234.87080196505337,235.04803364052657,68890500
2018-04-13,234.95053100585938,237.06833309406684,233.94038624610417,236.95313521756952,85079200
2018-04-16,236.88226318359375,237.65319668055596,235.7657900947769,236.58986064745943,63405300
2018-04-17,239.4165496826172,240.01909418379762,238.14055718496436,238.65448583790996,64682000
2018-04-18,239.5937957763672,240.40012703100422,239.13300415456106,239.85961629528467,57303900
